variable name,value type ,description
vocab_pres,array,"array containing the (1) Irish word presented, (2) source file of image presented, and (3) translation of the word displayed to user for vocab-pair section"
vocab_resp,array ,"array containing the (1) vocabulary option selected for each question during the vocab-pairs quiz, (2) the source file of the image presented, (3) the correct selection, and (4)options displayed to users"
spatial_pres,array,array containing the (1) x and (2) y coordinates of the specified shape (image source in (3)) for trial number noted in (4); number of sub-arrays denotes number of shapes displayed per page
spatial_resp,array,"array containing three sub-arrays - initial posiitons of each icon in the center of the page during the move prompt, the number of moves and order of icon selection during the shape arrangement, and the final locations of each of the shapes as submitted; each contain the (1) x and (2) y coordinates of the specified shape (image source in (3)) for shape number noted in (4) and trial number noted in position (5)"
rec_word_delay,str,words recalled by a user via text entry after all word lists and experiment delay
movie_sent_recall_delay,str ,"each sentence entered by user after a delay, accounting what they remember happening in the movie they viewed"
vocab_resp_q_delay,array,"array containing the (1) vocabulary option selected for each question during the vocab-pairs quiz, (2) the source file of the image presented, (3) the correct selection, and (4)options displayed to users"
fitbit_clear,str,selected option for how clear the instructions for this section were
movie_clear,str,selected option for how clear the instructions for this section were
overall_clear,str,selected option for how clear the instructions for this section were
survey_clear,str,selected option for how clear the instructions for this section were
wordlist_clear,str,selected option for how clear the instructions for this section were
delayed_movie_clear,str,selected option for how clear the instructions for this section were
delayed_vocab_clear,str,selected option for how clear the instructions for this section were
delayed_wordlist_clear,str,selected option for how clear the instructions for this section were
spatial_clear,str,selected option for how clear the instructions for this section were
vocab_clear,str,selected option for how clear the instructions for this section were
delayed_movie_clear_text,str,any text entered by user related to sections that were marked as unclear or very unclear 
delayed_vocab_clear_text,str,any text entered by user related to sections that were marked as unclear or very unclear 
delayed_wordlist_clear_text,str,any text entered by user related to sections that were marked as unclear or very unclear 
fitbit_clear_text,str,any text entered by user related to sections that were marked as unclear or very unclear 
movie_clear_text,str,any text entered by user related to sections that were marked as unclear or very unclear 
overall_clear_text,str,any text entered by user related to sections that were marked as unclear or very unclear 
spatial_clear_text,str,any text entered by user related to sections that were marked as unclear or very unclear 
survey_clear_text,str,any text entered by user related to sections that were marked as unclear or very unclear 
vocab_clear_text,str,any text entered by user related to sections that were marked as unclear or very unclear 
wordlist_clear_text,str,any text entered by user related to sections that were marked as unclear or very unclear 
movie_difficult,str,selected option for how difficult this section was
spatial_difficult,str,selected option for how difficult this section was
vocab_difficult,str,selected option for how difficult this section was
wordlist_difficult,str,selected option for how difficult this section was
delayed_movie_difficult,str,selected option for how difficult this section was
delayed_vocab_difficult,str,selected option for how difficult this section was
delayed_wordlist_difficult,str,selected option for how difficult this section was
delayed_movie_difficult_text,str,any text entered by user related to sections that were marked as difficult or very difficult
delayed_vocab_difficult_text,str,any text entered by user related to sections that were marked as difficult or very difficult
delayed_wordlist_difficult_text,str,any text entered by user related to sections that were marked as difficult or very difficult
movie_difficult_text,str,any text entered by user related to sections that were marked as difficult or very difficult
spatial_difficult_text,str,any text entered by user related to sections that were marked as difficult or very difficult
vocab_difficult_text,str,any text entered by user related to sections that were marked as difficult or very difficult
wordlist_difficult_text,str,any text entered by user related to sections that were marked as difficult or very difficult
feedback,str,additional feedback provided by the user 
