,filenames,ids
46,BFM_AMT_0047,A2JMPB5BLPWK1Q-32SCWG5HIJAOP8YPNR8APAEU7PZ6PV
47,BFM_AMT_0048,A2L22HZ50T83UK-3PMBY0YE299SD2RJGTPGPK6PZ4FC9G
48,BFM_AMT_0049,A2LIBGWOF6QSZU-3RXPCZQMQRHN594TE266059L0QV1GV
49,BFM_AMT_0050,A2N93IVSZXSB73-3BC8WZX3V522N4COS7FX50554Y6RRJ
50,BFM_AMT_0051,A2NT00OJ0DAYJM-3G0WWMR1UXQHW55WML9GRQQQAX7NQL
51,BFM_AMT_0052,A2S7EG0FO67OM4-39LNWE0K4W2HAX1M6EGTWJRYOZYIUD
52,BFM_AMT_0053,A2V3JF5LEL7L7U-3BQU611VFRQQF4KG49FPNU5HSVY995
53,BFM_AMT_0054,A2WBC2TUEWQ7W9-326O153BMK4JDQOEO00D14PIC9HDEI
54,BFM_AMT_0055,A2WQKPQT9DHBJK-3LYA37P8ISTTKTI46QKA49ENSDAKBU
55,BFM_AMT_0056,A2XK3VMWPMWADQ-3A9AA95ATYSS64YBI8Y5X40UCXE5PB
56,BFM_AMT_0057,A2YOHU55NSZ2OR-3RXPCZQMQRHN594TE266059L1RKG12
57,BFM_AMT_0058,A2YUCJ28XANFOX-3UXUOQ9OKG30646SHIV55TPV2IE7AH
58,BFM_AMT_0059,A2ZARG52ZPGMBH-3LUY3GC63167T8CU61D2VOEQ3WL7PQ
59,BFM_AMT_0060,A2ZPSPA0R8KSL8-3J4Q2Z4UT097JZEAEM03N93HZ8CQWA
60,BFM_AMT_0061,A2ZQCHONMAJZF-3TDXMTX3CD0W8MBLAWIQGDDILEY6IJ
61,BFM_AMT_0062,A321YWMP74ULKH-3RXCAC0YITV5G9OEDNFLFFWTCZO8GD
62,BFM_AMT_0063,A32IRN8APZMCQ2-3B3WTRP3DD8FFKZHJ00AD7X3O3R293
63,BFM_AMT_0064,A33FD9YZBFA7QK-3X66WABAJYOJFCI816KPOYOIXB53GM
64,BFM_AMT_0065,A33RNWDYVUFPXM-35GMH2SV3GNAHNF3E9ETCY1HH9QOE1
65,BFM_AMT_0066,A362RXUHDXF7EA-3K4J6M3CXGZJZXHTALZZB62O3EOAG2
66,BFM_AMT_0067,A36PRTZFECB76C-3OB0CAO74JVYVBA7AXVXZSWWL5JHYX
67,BFM_AMT_0068,A36Y6LV9NJMQJP-3FIJLY1B6WAK81R0OKBEJGR73R6PFU
68,BFM_AMT_0069,A37O8RTUQL5ALY-3TPZPLC3M2IPSPB74PACI72AX35P3Q
69,BFM_AMT_0070,A39MKVROUZ1UWR-3TU5ZICBRF7WTYISGJKX9T0VIO4Q81
70,BFM_AMT_0071,A39U5VFB9ZIPLF-3IXQG4FA2V493XZD2TTLE007JFP9BA
71,BFM_AMT_0072,A3AJ9LHF5IU1Q1-31UV0MXWNSI0PIB75D8LO7ZIPAE5IB
72,BFM_AMT_0073,A3BEQCXB3L4ELP-3VP0C6EFSI2I451CVBGI86KZ3IFM63
73,BFM_AMT_0074,A3BHNUH1KDYF63-35L9RVQFCQOHE2Q20WY8W7QJRASHU7
74,BFM_AMT_0075,A3BXEDQ193KS41-3IX2EGZR7DPLPGTBK26O39JEW2QJR5
75,BFM_AMT_0076,A3CZYM90U1YQTI-3HYA4D452TPOGUQUMM02N3JER2BF2Z
76,BFM_AMT_0077,A3DAJROQC1BLNI-3LBXNTKX0T1GG02E7PL33XRZ26X9XF
77,BFM_AMT_0078,A3FSDD8Y9V7NCX-3BGYGHDBBZQ4F0EIYRLV3KPPHEC223
78,BFM_AMT_0079,A3GDUZQGHRXUJI-3300DTYQT4ND2ZSJTM6X13WHUHXEQ0
79,BFM_AMT_0080,A3LR5YED234XPN-37ZHEEHM6YS0MJ7783GVILBPWQ9374
80,BFM_AMT_0081,A3MXZMAX4XEZU4-35GCEFQ6I7UJ6TDDRY8E954O80Y3Z8
81,BFM_AMT_0082,A3P8PZQ6P1T0AM-3B1NLC6UG12QM1NVZ4HW11RJ27RPGE
82,BFM_AMT_0083,A3QPWC4JWEVIUD-34QN5IT0T1X855DTZLQIUN9D5F1806
83,BFM_AMT_0084,A3QZ913QD7CN6K-3DY4FPOOA3UUGBT51RK76XU8P7ZRVY
84,BFM_AMT_0085,A3VON55PWB859U-3QL2OFSM98OD24VDH38L7L195JSCNS
85,BFM_AMT_0086,A3VP1WOYEPIOQA-32Q90QCQ1URRRWUOGHM05HK8W5IKEG
86,BFM_AMT_0087,A8L94A9EF23BV-3R8YZBNQ9JOSTKD96ESRVT408ZXQ74
87,BFM_AMT_0088,A9IC7BMHIPTYH-3ATPCQ38JAGJLO2T4RL5I69S7E9YAQ
88,BFM_AMT_0089,AABCSDU3TZLNG-3R8YZBNQ9JOSTKD96ESRVT40AB97QN
89,BFM_AMT_0090,AAESUZX951JNN-3PQ8K71NHZQIP64QOL7PFKRL6BHAAH
90,BFM_AMT_0091,AAM0Q3DCSSQ0A-3A7Y0R2P2QU5MCFNT1CGSR52W2FXJK
91,BFM_AMT_0092,ACFMXT9ZGJJYZ-3XCC1ODXDNH2B3XOFSQX0AV089YQR5
92,BFM_AMT_0093,ACZPNPSA47Q23-32SVAV9L3HFI5L55F6SFSCDFZFRA3E
93,BFM_AMT_0094,AD0NVUGLDYDYN-3NJM2BJS4YCD5P7QXILDBA643CDCPY
94,BFM_AMT_0095,ADMPIBL7UKJUS-308XBLVESKAF7XVZWAT75L01MAQRBP
95,BFM_AMT_0096,AE4NBHFMLQQKP-3EJPLAJKEOMI3C0VA06CG8G8IW2Z6M
96,BFM_AMT_0097,AEAH80A16IYUQ-3IAEQB9FMGQDUQA590UJNAWIHBPDWV
97,BFM_AMT_0098,AFG7CKLEL3IMT-333U7HK6IBLRO6A621B4YK2AG8ODJV
98,BFM_AMT_0099,AG2S21EJEXCZ9-39LNWE0K4W2HAX1M6EGTWJRYPURIUX
99,BFM_AMT_0100,AI2C5TZVT9QE8-3MYYFCXHJ5D4X81C1KP8Y3GODVYG4N
100,BFM_AMT_0101,AIOFZDV1SZ25O-39N5ACM9HGTB7R0NLYBM9K5WYUH9PS
101,BFM_AMT_0102,AJG4Y1OT9N50T-3WT783CTPDNB1V6GED3CGQ1FM9VCBC
102,BFM_AMT_0103,ALWGOOVRZ3D9H-382M9COHEJL5USZ0AVQ2B4T6Y0NEUM
103,BFM_AMT_0104,AMNSPC29OICNL-3ZGVPD4G6VNO5AB76DE5RI8M3QHZTA
104,BFM_AMT_0105,ANUXUJE8QRE0C-386PBUZZXH3AMIYYFI9SHXAFPJYJLT
105,BFM_AMT_0106,APR3WVZ4JKEYJ-34QN5IT0T1X855DTZLQIUN9D6GA08A
106,BFM_AMT_0107,AT8WD9ENVE1J6-3E4GGUZ1TAXZWGI8NXRZ3GBJXEXK25
107,BFM_AMT_0108,ATD6ZJGGG8OON-3KOPY89HMA8T6E899C5SLBGYO26J3N
108,BFM_AMT_0109,AV7UX8QQXABSK-3WJEQKOXAA8MVIRQS2EW4JYI1VVA14
109,BFM_AMT_0110,AVHJ2SNIMGZ91-3M0NZ3JDP34MK80H5HW7O228LVU5Z2
110,BFM_AMT_0111,AVOA1NE4QEHTW-30H4UDGLT4OQEBJHA7FRE6BG0AJMPZ
111,BFM_AMT_0112,AWAWQ9GFVIK9Y-3N2BF7Y2VS0Y1ULTRU7M5X9PCX5MHG
112,BFM_AMT_0113,AWQ1Q7LCQGMRE-3QAVNHZ3EOAZLPVULCWFOY7W0OAALV
